SerialNumber,Shana,Machoz,Ms_Nefashot,Minn,Gil,MatzavMishp,Pop_Group,DatSafa_C,HesderDiyur,ShnotLimudKlali_C,MatzavTaasuka_C,HachnasaKolelet,HachnasaAvoda,SemelMishlach_wp,OverVashav,OverVaMaakav,OverVaI1,OverVaI2,OverVaI3,OverVaI4,OverVaI5,OverVaI6,OverVaI7,OverVaAcher,OverVaEruim1,OverVaEruim2,OverVaEruim3,HeshbonMaakav,KartisAshKama,KartisAshP1,KartisAshP2,KartisAshP3,KartisAshP4,KartisAshS1,KartisAshS2,KartisAshS3,KartisAshS4,KartisAshS5,KartisAshS6,KartisAshS7,KartisAshNechsam,Mashkanta1,MashkantaMekorot,Halvaa,Halvaa2,Halvaa3,Halvaa4,Halvaa5,Halvaa6,Halvaa7,Halvaa8,Halvaa9,Halvaa10,Hovot,Hovot2,Hovot3,Hovot4,Hovot5,Hovot6,Hovot7,Hovot8,Hovot9,HovotLechatzim,Hashkaot1,Hashkaot2,Hashkaot3,Hashkaot4,Hashkaot5,Hashkaot6,Hashkaot7,Hashkaot8,Hashkaot9,Hashkaot10,HashkaotMaclit,Bituhim1,Bituhim2,Bituhim3,Bituhim4,Bituhim5,Bituhim6,SherutY1,SherutY2,SherutY3,SherutY4,SherutY5,SherutY6,NosCas1,NosCas2,NosCas3,NosCas4,HishuvRibit,HishuvRibitDribit,ShiurRibitBank,HipusM1,HipusM2,HipusM3,HipusM4,HipusM5,HipusM6,HipusM7,HipusM8,HipusM9,NoseCaspiM1,NoseCaspiM2,NoseCaspiM3,NoseCaspiM4,NoseCaspiM5,NoseCaspiM6,NoseCaspiM7,NoseCaspiM8,NoseCaspiM9,NoseCaspiM10,NoseCaspiHarhavaNihul,NoseCaspiHarhavaCarhanut,NoseCaspiHarhavaHalvaot,NoseCaspiHarhavaHishonot,NoseCaspiHarhavaBituhim,NoseCaspiHarhavaMashkanta,NoseCaspiHarhavaEynCoreh,MekorotM1,MekorotM2,MekorotM3,MekorotM4,MekorotM5,MekorotM6,MekorotM7,MekorotM8,MekorotM9,MekorotM10,MakorMuadaf,MakorMahooM,RamatYedaMash,nn
17,2012,6,7,1,5,1,1,3,1,3,3,5,,10,1,2,,1,1,1,,,,2,1,1,1,1,4,1,1,2,2,1,,1,1,1,,,2,1,1,2,2,1,2,2,2,2,2,2,,1,,,,,,,,,,1,2,2,2,1,,1,2,,,1,1,2,2,1,,1,2,2,2,2,2,2,1,1,1,1,1020,1,2,4,4,4,1,1,1,1,,,1,2,2,4,1,1,1,3,4,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,,,1,5,1,7137.855797
18,2012,7,5,1,7,1,1,3,1,6,2,4,,10,1,2,2,1,1,2,1,,,1,1,1,1,2,5,2,1,2,2,1,2,2,2,1,,,2,2,,1,,,,,,,,,,1,,,,,,,,,,1,2,2,1,2,1,2,1,2,,2,1,2,2,1,2,1,2,1,1,1,2,1,2,1,1,1,1020,1,2,3,3,2,1,1,1,1,1,"עיתון מארה""ב",3,3,1,4,1,2,2,2,4,2,0,0,0,1,0,0,0,1,2,1,2,1,2,2,1,,,1,3,1,3621.542127
19,2012,7,5,1,4,1,1,3,1,6,1,9,9,2,1,2,1,1,1,1,1,,,2,1,1,1,1,4,2,1,2,2,1,1,2,2,1,,,2,2,,1,,,,,,,,,,1,,,,,,,,,,1,1,1,1,1,1,1,1,,,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1020,1,3,2,1,3,2,2,3,1,,,1,4,1,4,1,2,2,2,3,2,0,0,0,1,0,0,0,2,2,1,1,1,1,2,1,,,1,6,1,4373.956309
20,2012,1,4,2,2,1,1,3,1,6,1,9,4,0,1,2,1,1,2,2,2,,,2,4,3,1,3,3,2,1,2,2,1,2,1,2,1,,,2,2,,1,,,,,,,,,,1,,,,,,,,,,1,1,3,,1,3,3,1,,,1,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,1,1020,1,3,2,3,1,1,1,1,1,,,1,3,2,2,2,3,3,3,4,3,0,0,1,1,1,1,0,1,1,2,2,1,2,1,2,,,1,1,2,3257.528459
21,2012,1,4,1,3,1,1,3,1,5,1,5,6,3,1,,,,,,,,,2,1,1,1,1,3,2,1,2,2,1,2,2,2,2,,,2,1,1,2,1,2,2,2,2,2,2,,,1,,,,,,,,,,1,2,2,2,1,2,2,2,,,1,1,2,2,1,1,2,2,2,2,2,2,2,3,3,3,3,1020,3,4,1,1,1,1,1,1,1,2,,2,3,2,2,2,2,3,2,4,3,1,1,0,0,0,0,0,2,2,2,2,2,2,2,2,2,,,,2,4149.223442
22,2012,1,4,1,4,1,1,3,1,6,1,9,9,2,1,2,1,2,1,1,1,,,1,3,1,1,1,4,2,1,2,2,1,1,1,2,1,,,2,1,1,2,1,2,2,2,2,2,2,,,1,,,,,,,,,,1,2,1,1,1,2,2,2,,,1,1,1,2,2,1,1,2,2,2,2,1,2,2,1,3,1,1020,3,4,2,2,2,1,1,1,1,,,1,3,1,4,1,2,3,3,3,2,0,0,0,1,0,0,0,1,2,2,2,1,2,2,2,,,1,1,2,3809.19584
23,2012,1,5,1,7,1,1,3,1,6,1,99,98,1,1,2,1,1,1,1,1,,,2,4,2,1,1,4,2,1,2,2,1,1,1,2,1,,,2,1,1,2,1,2,2,2,2,2,2,,,1,,,,,,,,,,1,1,2,1,2,1,2,2,,,1,1,2,2,1,1,1,2,2,2,1,2,2,2,1,1,1,1020,1,3,1,4,3,1,1,1,1,,,1,3,1,3,1,1,2,3,4,3,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,,,1,5,2,4717.842582
24,2012,1,3,1,8,1,1,3,1,6,1,98,99,6,1,3,1,1,1,1,1,,,1,5,5,2,1,4,,1,1,1,,,,1,,,,2,1,1,2,1,1,,,,,,,,2,4,,,,,,,,2,1,1,1,1,,1,,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,1,,,,,5,3,1,1,1,1,1,1,1,1,,2,1,1,2,2,3,3,3,4,2,1,0,1,1,0,1,0,2,2,2,2,2,2,2,2,2,,,,2,3759.268409
25,2012,1,2,2,5,3,1,3,2,6,1,98,7,1,1,2,1,2,2,1,1,,,2,5,1,1,1,4,2,1,1,1,1,1,1,1,2,,,2,2,,2,1,1,1,2,2,2,2,,,1,,,,,,,,,,1,2,2,1,2,1,2,2,,,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,3,,3,4,1,5,5,1,1,1,1,,,2,2,5,3,2,4,2,3,2,3,1,1,0,0,0,0,0,1,1,2,3,1,2,3,2,1,,1,2,2,3694.619868
26,2012,1,2,1,8,1,1,3,1,5,1,7,7,1,1,3,,1,,,,,,2,2,1,1,1,3,2,1,2,2,1,1,1,2,2,,,2,2,,2,1,2,2,2,2,2,2,,,1,,,,,,,,,,2,1,1,2,1,,,,,,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1020,1,1,2,1,1,1,1,1,1,,,2,3,1,3,2,3,2,3,3,3,1,0,0,1,1,0,0,1,2,2,2,2,2,1,2,,,1,7,2,3917.617633
27,2012,1,2,1,9,1,1,3,1,6,1,9,9,1,1,3,1,1,1,,,,,2,1,1,1,1,3,2,1,1,2,1,1,2,2,1,,,2,2,,1,,,,,,,,,,1,,,,,,,,,,1,1,1,1,1,1,1,1,,,1,1,2,2,2,2,1,2,1,2,2,1,2,2,1,1,1,1020,1,4,2,3,1,1,1,1,1,,,4,4,1,4,4,4,2,2,3,3,0,0,0,1,1,0,0,1,1,1,1,1,1,1,1,,,1,2,2,2670.9696
28,2012,1,5,1,3,1,1,3,1,6,1,8,7,1,1,2,1,1,1,1,1,,,1,1,1,1,1,5,2,1,3,2,2,1,2,1,1,,,2,1,4,2,1,2,2,2,2,2,1,,,1,,,,,,,,,,1,1,1,1,2,3,2,2,,,1,1,1,2,1,1,1,2,1,2,1,2,2,1,1,1,1,1020,1,3,3,2,2,1,2,1,1,,,1,4,1,2,1,1,2,4,4,3,1,1,0,1,0,1,0,1,1,1,2,1,1,1,2,,,1,7,2,4126.969847
29,2012,1,5,2,5,1,1,3,1,5,1,6,6,3,1,4,1,2,1,1,2,,,2,5,5,1,1,3,2,1,1,2,1,2,1,2,1,,,2,1,1,2,1,2,2,2,2,2,1,,,1,,,,,,,,,,1,2,1,2,2,2,2,2,,,1,2,2,2,1,1,2,2,2,2,2,2,2,2,1,3,1,1020,2,3,1,1,1,1,1,1,1,2,,2,1,3,3,2,1,3,5,4,5,1,1,0,1,0,0,0,1,2,2,2,1,2,2,2,,,2,,2,3659.309848
30,2012,1,4,1,2,1,2,1,1,4,1,4,4,6,1,3,1,1,1,1,1,2,,2,2,2,3,1,2,1,1,2,2,1,2,1,1,1,2,,1,2,,1,,,,,,,,,,2,3,3,2,2,1,1,,,1,2,2,2,2,2,2,2,2,2,,,1,2,2,1,2,2,2,1,2,3,3,2,3,1,3,3,,5,4,1,1,1,1,1,1,1,2,,2,1,3,2,1,4,3,2,2,3,0,0,0,1,0,0,0,2,2,2,2,2,2,2,2,2,,,,2,2756.407405
31,2012,2,1,2,10,3,1,3,3,5,1,3,3,0,1,2,,1,,,,,,2,1,1,1,1,2,2,1,1,2,1,2,2,2,2,,,2,2,,1,,,,,,,,,,1,,,,,,,,,,1,2,2,2,1,2,2,2,2,,1,2,3,3,1,2,2,2,2,2,2,2,2,1,1,1,1,1020,3,2,2,1,2,1,2,1,1,,,1,3,1,3,3,2,2,4,4,2,0,0,0,0,0,0,1,1,2,1,2,1,2,2,2,,,2,,2,7146.212171
32,2012,2,5,1,5,1,1,3,1,4,1,6,6,2,1,2,,1,,,,,,2,1,1,1,1,3,2,2,2,2,1,1,1,1,1,,,2,1,1,2,1,2,2,2,2,2,2,,,1,,,,,,,,,,1,1,1,1,2,1,1,1,,,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,3,2,1200,4,3,4,4,4,5,4,1,1,,,2,2,2,2,2,2,2,3,3,3,0,0,0,1,0,0,0,1,2,2,2,2,2,2,2,,,2,,2,4397.541714
33,2012,2,2,1,3,1,1,3,4,6,1,98,10,0,1,2,1,1,2,2,2,,,1,1,1,1,1,2,1,1,2,2,1,2,1,1,1,,,2,2,,1,,,,,,,,,,1,,,,,,,,,,1,1,1,1,,,2,2,,,5,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1020,1,2,5,5,3,1,2,2,1,,,1,2,2,4,2,2,2,2,4,2,0,0,0,0,0,0,0,1,1,1,2,1,1,1,2,,,2,,2,4342.526457
34,2012,2,5,2,7,1,1,3,1,6,1,10,9,3,1,3,,1,,1,1,,,1,4,1,1,1,3,,1,2,2,1,2,1,2,1,,,2,1,1,2,1,2,2,2,1,2,2,,,1,,,,,,,,,,1,1,1,1,2,2,2,2,,,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1020,1,2,3,5,2,1,1,1,1,,,1,3,1,3,1,3,1,3,2,1,0,0,0,0,0,0,1,1,1,2,1,1,2,1,2,,,1,1,2,4208.873196
35,2012,2,4,2,8,1,1,3,1,6,1,10,7,0,1,2,1,1,1,2,2,,,2,5,1,1,1,5,1,1,1,2,1,2,1,1,1,,,2,1,1,2,1,2,2,1,2,2,2,,,1,,,,,,,,,,1,1,1,1,2,1,1,1,1,מניות,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1020,2,3,3,5,1,1,1,5,1,,,1,4,1,4,2,3,1,3,3,1,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,,,1,2,2,4159.93281
36,2012,2,4,2,3,1,2,1,1,5,3,4,,10,1,3,1,1,1,2,1,,,2,5,1,1,2,2,2,1,1,2,1,2,2,2,2,,,2,2,,1,,,,,,,,,,1,,,,,,,,,,1,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,5,4,1,,,1,1,1,1,1,,2,2,2,3,2,2,2,2,2,2,0,1,0,0,0,0,0,1,1,1,1,1,2,2,2,,,2,,2,5681.653848
37,2012,2,4,2,1,5,2,1,1,5,2,2,,10,2,,,,,,,,,,,,,2,1,,,,,,,,,,,,,2,,1,,,,,,,,,,1,,,,,,,,,,2,2,2,2,2,2,2,2,,,,4,4,4,1,2,2,2,2,2,2,2,3,3,3,3,3,1020,2,1,2,2,2,2,2,1,1,,,1,5,1,3,2,2,5,3,4,5,1,1,0,0,1,0,0,1,2,2,2,2,2,2,2,,,1,1,2,1754.265061
38,2012,2,5,1,6,1,1,3,1,5,1,9,8,1,1,3,2,1,2,2,2,,,1,3,1,1,1,3,2,1,2,2,2,1,2,2,1,,,2,1,1,1,,,,,,,,,,1,,,,,,,,,,2,1,1,1,2,2,2,2,,,1,1,1,2,1,1,2,2,2,2,2,2,2,,,,,,5,2,2,1,1,1,1,1,1,,,1,4,1,4,1,1,3,3,3,2,0,0,0,1,1,1,0,1,,1,,1,2,2,2,,,1,1,2,3558.98076
39,2012,2,3,1,3,1,1,3,1,5,1,6,6,6,1,3,1,1,2,1,1,,,1,2,1,1,2,2,2,1,1,2,1,2,1,2,1,,,2,1,1,2,1,2,2,2,2,2,2,,,1,,,,,,,,,,1,1,1,1,2,1,2,2,,,1,2,1,1,2,1,1,2,2,2,2,2,2,1,1,1,1,,5,3,1,1,3,1,1,1,1,,,1,2,1,3,1,1,3,3,3,2,1,0,0,0,0,0,0,1,1,1,2,1,2,2,1,,,1,3,2,4492.296194
40,2012,2,4,2,7,1,1,3,1,6,1,8,4,3,1,2,1,1,1,1,1,,,1,1,1,1,2,2,2,1,2,2,1,2,1,2,1,,,2,1,1,2,1,2,2,,,,,,,1,,,,,,,,,,1,1,1,1,2,1,2,2,,,2,1,1,2,1,1,1,2,2,2,2,2,2,3,1,3,1,240,4,3,1,1,1,1,1,1,1,,,1,4,1,4,1,1,3,4,3,3,0,0,0,1,0,0,0,1,1,1,1,1,1,2,2,,,,,2,4371.43174
41,2012,2,6,1,5,1,2,1,1,6,1,9,8,0,1,2,1,1,1,,1,,,2,3,1,1,1,3,2,1,2,2,1,2,2,2,2,,,2,1,1,2,1,2,2,2,2,2,2,,,1,,,,,,,,,,1,1,1,1,1,2,2,2,,,1,1,,,1,1,1,2,2,2,2,2,2,3,3,3,3,1020,2,4,1,1,2,2,1,1,1,,,1,3,1,3,3,3,3,2,4,5,1,1,1,1,0,0,0,1,2,1,1,1,1,2,1,,,1,8,2,3664.991824
42,2012,2,3,2,7,1,2,2,1,5,1,7,2,1,1,2,1,2,1,2,1,,,1,5,3,1,5,1,,,,,,,,,,,,,1,1,2,1,2,2,2,2,2,1,,,2,1,1,1,4,1,,,,1,2,1,1,1,2,1,2,2,,,2,1,1,2,1,1,1,2,1,1,2,1,2,3,1,1,3,,5,4,2,2,1,2,2,1,1,,,2,2,2,3,1,2,3,3,4,2,1,0,1,0,0,0,0,1,1,1,1,1,2,2,2,,,1,3,2,1457.821042
43,2012,3,4,1,1,5,2,3,1,4,1,9,4,4,2,,,,,,,,,,,,,5,1,,,,,,,,,,,,,2,,1,,,,,,,,,,1,,,,,,,,,,2,2,2,2,2,2,2,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,3,,5,1,1,1,1,1,1,1,1,2,,3,2,5,4,,2,2,3,3,4,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,,,,,2,2750.797275
44,2012,3,5,1,5,1,2,3,1,5,1,6,7,6,2,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,2,2,1,2,2,2,2,2,2,2,,1,,,,,,,,,,1,1,2,1,1,2,2,2,2,,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,3,,5,2,1,1,1,1,1,1,1,,,1,4,1,4,1,4,5,5,4,4,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,,,,,2,4354.636495
45,2012,3,6,1,6,1,2,3,1,6,1,8,3,4,1,3,2,1,1,1,1,,,1,3,2,1,1,3,2,1,1,2,1,1,2,2,2,,,2,2,,1,,,,,,,,,,,,,,,,,,,,1,2,1,2,2,2,1,2,2,,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1020,1,3,2,2,2,1,1,1,1,,,2,3,2,3,2,2,2,3,3,2,0,0,0,0,0,0,1,1,1,1,2,1,2,1,2,,,2,,2,2446.93489
46,2012,3,3,1,6,1,2,3,1,6,1,7,7,0,1,2,1,1,1,1,1,,,2,4,4,1,1,3,1,1,1,2,2,2,1,2,2,,,2,2,,1,,,,,,,,,,1,,,,,,,,,,1,1,1,3,1,1,3,1,,,1,1,2,2,1,2,1,2,2,2,2,2,2,3,1,1,1,1020,1,4,1,1,1,1,1,1,1,,,1,3,2,3,3,2,2,2,2,2,1,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,,,,2,1536.428979
47,2012,3,3,1,2,1,1,3,1,5,1,8,8,3,1,2,1,1,2,1,1,,,1,4,1,1,2,4,2,1,1,2,1,2,2,1,1,,,2,1,1,1,,,,,,,,,,1,,,,,,,,,,1,1,1,1,2,1,2,2,,,1,1,1,2,1,1,2,2,2,2,2,1,2,2,1,3,2,,3,4,2,2,3,1,1,1,1,1,,1,2,1,4,2,3,3,3,4,2,0,0,0,1,0,0,0,2,1,1,2,2,2,2,2,,,1,3,2,4470.992636
48,2012,3,2,2,7,1,1,3,1,6,1,10,8,1,1,4,1,1,,,,,,1,1,1,1,2,5,2,1,2,2,1,1,1,1,1,,,2,2,,1,,,,,,,,,,1,,,,,,,,,,1,1,1,1,2,1,2,2,,,,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1200,5,4,1,1,2,1,1,1,1,,,2,4,1,4,1,1,4,4,3,4,0,1,0,0,0,0,0,2,2,2,2,2,2,2,1,1,,1,8,2,3836.192153
